"","Pokedex Number","Name","Generation","Status","1st Type","2nd Type","1st Ability","2nd Ability","Hidden Ability","Total Points","Cluster"
"552",468,"Togekiss",4,"Normal","Fairy","Flying","Hustle","Serene Grace","Super Luck",545,"overall strongest"
"553",469,"Yanmega",4,"Normal","Bug","Flying","Speed Boost","Tinted Lens","Frisk",515,"fast attackers"
"554",470,"Leafeon",4,"Normal","Grass","","Leaf Guard","","Chlorophyll",525,"defensive specialists"
"555",471,"Glaceon",4,"Normal","Ice","","Snow Cloak","","Ice Body",525,"defensive specialists"
"556",472,"Gliscor",4,"Normal","Ground","Flying","Hyper Cutter","Sand Veil","Poison Heal",510,"defensive specialists"
"557",473,"Mamoswine",4,"Normal","Ice","Ground","Oblivious","Snow Cloak","Thick Fat",530,"health tanks"
"558",474,"Porygon-Z",4,"Normal","Normal","","Adaptability","Download","Analytic",535,"fast attackers"
"559",475,"Gallade",4,"Normal","Psychic","Fighting","Steadfast","","Justified",518,"fast attackers"
"560",475,"Mega Gallade",4,"Normal","Psychic","Fighting","Inner Focus","","",618,"overall strongest"
"561",476,"Probopass",4,"Normal","Rock","Steel","Sturdy","Magnet Pull","Sand Force",525,"defensive specialists"
"562",477,"Dusknoir",4,"Normal","Ghost","","Pressure","","Frisk",525,"defensive specialists"
"563",478,"Froslass",4,"Normal","Ice","Ghost","Snow Cloak","","Cursed Body",480,"fast attackers"
"564",479,"Rotom",4,"Normal","Electric","Ghost","Levitate","","",440,"fast attackers"
"565",479,"Heat Rotom",4,"Normal","Electric","Fire","Levitate","","",520,"defensive specialists"
"566",479,"Wash Rotom",4,"Normal","Electric","Water","Levitate","","",520,"defensive specialists"
"567",479,"Frost Rotom",4,"Normal","Electric","Ice","Levitate","","",520,"defensive specialists"
"568",479,"Fan Rotom",4,"Normal","Electric","Flying","Levitate","","",520,"defensive specialists"
"569",479,"Mow Rotom",4,"Normal","Electric","Grass","Levitate","","",520,"defensive specialists"
"570",480,"Uxie",4,"Sub Legendary","Psychic","","Levitate","","",580,"defensive specialists"
"571",481,"Mesprit",4,"Sub Legendary","Psychic","","Levitate","","",580,"overall strongest"
"572",482,"Azelf",4,"Sub Legendary","Psychic","","Levitate","","",580,"fast attackers"
"573",483,"Dialga",4,"Legendary","Steel","Dragon","Pressure","","Telepathy",680,"overall strongest"
"574",484,"Palkia",4,"Legendary","Water","Dragon","Pressure","","Telepathy",680,"overall strongest"
"575",485,"Heatran",4,"Sub Legendary","Fire","Steel","Flash Fire","","Flame Body",600,"overall strongest"
"576",486,"Regigigas",4,"Sub Legendary","Normal","","Slow Start","","",670,"overall strongest"
"577",487,"Giratina Altered Forme",4,"Legendary","Ghost","Dragon","Pressure","","Telepathy",680,"overall strongest"
"578",487,"Giratina Origin Forme",4,"Legendary","Ghost","Dragon","Levitate","","",680,"overall strongest"
"579",488,"Cresselia",4,"Sub Legendary","Psychic","","Levitate","","",600,"overall strongest"
"580",489,"Phione",4,"Mythical","Water","","Hydration","","",480,"fast attackers"
"581",490,"Manaphy",4,"Mythical","Water","","Hydration","","",600,"overall strongest"
"582",491,"Darkrai",4,"Mythical","Dark","","Bad Dreams","","",600,"overall strongest"
"583",492,"Shaymin Land Forme",4,"Mythical","Grass","","Natural Cure","","",600,"overall strongest"
"584",492,"Shaymin Sky Forme",4,"Mythical","Grass","Flying","Serene Grace","","",600,"overall strongest"
"585",493,"Arceus",4,"Mythical","Normal","","Multitype","","",720,"overall strongest"
"586",494,"Victini",5,"Mythical","Psychic","Fire","Victory Star","","",600,"overall strongest"
"587",495,"Snivy",5,"Normal","Grass","","Overgrow","","Contrary",308,"small weak"
"588",496,"Servine",5,"Normal","Grass","","Overgrow","","Contrary",413,"big weak"
"589",497,"Serperior",5,"Normal","Grass","","Overgrow","","Contrary",528,"fast attackers"
"590",498,"Tepig",5,"Normal","Fire","","Blaze","","Thick Fat",308,"big weak"
"591",499,"Pignite",5,"Normal","Fire","Fighting","Blaze","","Thick Fat",418,"big weak"
"592",500,"Emboar",5,"Normal","Fire","Fighting","Blaze","","Reckless",528,"health tanks"
"593",501,"Oshawott",5,"Normal","Water","","Torrent","","Shell Armor",308,"small weak"
"594",502,"Dewott",5,"Normal","Water","","Torrent","","Shell Armor",413,"big weak"
"595",503,"Samurott",5,"Normal","Water","","Torrent","","Shell Armor",528,"health tanks"
"596",504,"Patrat",5,"Normal","Normal","","Run Away","Keen Eye","Analytic",255,"small weak"
"597",505,"Watchog",5,"Normal","Normal","","Illuminate","Keen Eye","Analytic",420,"big weak"
"598",506,"Lillipup",5,"Normal","Normal","","Vital Spirit","Pickup","Run Away",275,"small weak"
"599",507,"Herdier",5,"Normal","Normal","","Intimidate","Sand Rush","Scrappy",370,"big weak"
"600",508,"Stoutland",5,"Normal","Normal","","Intimidate","Sand Rush","Scrappy",500,"health tanks"
"601",509,"Purrloin",5,"Normal","Dark","","Limber","Unburden","Prankster",281,"small weak"
"602",510,"Liepard",5,"Normal","Dark","","Limber","Unburden","Prankster",446,"fast attackers"
"603",511,"Pansage",5,"Normal","Grass","","Gluttony","","Overgrow",316,"small weak"
"604",512,"Simisage",5,"Normal","Grass","","Gluttony","","Overgrow",498,"fast attackers"
"605",513,"Pansear",5,"Normal","Fire","","Gluttony","","Blaze",316,"small weak"
"606",514,"Simisear",5,"Normal","Fire","","Gluttony","","Blaze",498,"fast attackers"
"607",515,"Panpour",5,"Normal","Water","","Gluttony","","Torrent",316,"small weak"
"608",516,"Simipour",5,"Normal","Water","","Gluttony","","Torrent",498,"fast attackers"
"609",517,"Munna",5,"Normal","Psychic","","Forewarn","Synchronize","Telepathy",292,"big weak"
"610",518,"Musharna",5,"Normal","Psychic","","Forewarn","Synchronize","Telepathy",487,"health tanks"
"611",519,"Pidove",5,"Normal","Normal","Flying","Big Pecks","Super Luck","Rivalry",264,"small weak"
"612",520,"Tranquill",5,"Normal","Normal","Flying","Big Pecks","Super Luck","Rivalry",358,"big weak"
"613",521,"Unfezant",5,"Normal","Normal","Flying","Big Pecks","Super Luck","Rivalry",488,"fast attackers"
"614",522,"Blitzle",5,"Normal","Electric","","Lightning Rod","Motor Drive","Sap Sipper",295,"small weak"
"615",523,"Zebstrika",5,"Normal","Electric","","Lightning Rod","Motor Drive","Sap Sipper",497,"fast attackers"
"616",524,"Roggenrola",5,"Normal","Rock","","Sturdy","Weak Armor","Sand Force",280,"big weak"
"617",525,"Boldore",5,"Normal","Rock","","Sturdy","Weak Armor","Sand Force",390,"big weak"
"618",526,"Gigalith",5,"Normal","Rock","","Sturdy","Sand Stream","Sand Force",515,"defensive specialists"
"619",527,"Woobat",5,"Normal","Psychic","Flying","Unaware","Klutz","Simple",323,"small weak"
"620",528,"Swoobat",5,"Normal","Psychic","Flying","Unaware","Klutz","Simple",425,"fast attackers"
"621",529,"Drilbur",5,"Normal","Ground","","Sand Rush","Sand Force","Mold Breaker",328,"big weak"
"622",530,"Excadrill",5,"Normal","Ground","Steel","Sand Rush","Sand Force","Mold Breaker",508,"health tanks"
"623",531,"Audino",5,"Normal","Normal","","Healer","Regenerator","Klutz",445,"health tanks"
"624",531,"Mega Audino",5,"Normal","Normal","Fairy","Healer","","",545,"defensive specialists"
"625",532,"Timburr",5,"Normal","Fighting","","Guts","Sheer Force","Iron Fist",305,"big weak"
"626",533,"Gurdurr",5,"Normal","Fighting","","Guts","Sheer Force","Iron Fist",405,"big weak"
"627",534,"Conkeldurr",5,"Normal","Fighting","","Guts","Sheer Force","Iron Fist",505,"health tanks"
"628",535,"Tympole",5,"Normal","Water","","Swift Swim","Hydration","Water Absorb",294,"small weak"
"629",536,"Palpitoad",5,"Normal","Water","Ground","Swift Swim","Hydration","Water Absorb",384,"big weak"
"630",537,"Seismitoad",5,"Normal","Water","Ground","Swift Swim","Poison Touch","Water Absorb",509,"health tanks"
"631",538,"Throh",5,"Normal","Fighting","","Guts","Inner Focus","Mold Breaker",465,"health tanks"
"632",539,"Sawk",5,"Normal","Fighting","","Sturdy","Inner Focus","Mold Breaker",465,"health tanks"
"633",540,"Sewaddle",5,"Normal","Bug","Grass","Swarm","Chlorophyll","Overcoat",310,"big weak"
"634",541,"Swadloon",5,"Normal","Bug","Grass","Leaf Guard","Chlorophyll","Overcoat",380,"big weak"
"635",542,"Leavanny",5,"Normal","Bug","Grass","Swarm","Chlorophyll","Overcoat",500,"fast attackers"
"636",543,"Venipede",5,"Normal","Bug","Poison","Poison Point","Swarm","Speed Boost",260,"small weak"
"637",544,"Whirlipede",5,"Normal","Bug","Poison","Poison Point","Swarm","Speed Boost",360,"big weak"
"638",545,"Scolipede",5,"Normal","Bug","Poison","Poison Point","Swarm","Speed Boost",485,"fast attackers"
"639",546,"Cottonee",5,"Normal","Grass","Fairy","Prankster","Infiltrator","Chlorophyll",280,"small weak"
"640",547,"Whimsicott",5,"Normal","Grass","Fairy","Prankster","Infiltrator","Chlorophyll",480,"fast attackers"
"641",548,"Petilil",5,"Normal","Grass","","Chlorophyll","Own Tempo","Leaf Guard",280,"small weak"
"642",549,"Lilligant",5,"Normal","Grass","","Chlorophyll","Own Tempo","Leaf Guard",480,"fast attackers"
"643",550,"Basculin Red-Striped Form",5,"Normal","Water","","Reckless","Adaptability","Mold Breaker",460,"fast attackers"
"644",550,"Basculin Blue-Striped Form",5,"Normal","Water","","Rock Head","Adaptability","Mold Breaker",460,"fast attackers"
"645",551,"Sandile",5,"Normal","Ground","Dark","Intimidate","Moxie","Anger Point",292,"small weak"
"646",552,"Krokorok",5,"Normal","Ground","Dark","Intimidate","Moxie","Anger Point",351,"big weak"
"647",553,"Krookodile",5,"Normal","Ground","Dark","Intimidate","Moxie","Anger Point",519,"health tanks"
"648",554,"Darumaka",5,"Normal","Fire","","Hustle","","Inner Focus",315,"big weak"
"649",554,"Galarian Darumaka",5,"Normal","Ice","","Hustle","","Inner Focus",315,"big weak"
"650",555,"Darmanitan Standard Mode",5,"Normal","Fire","","Sheer Force","","Zen Mode",480,"health tanks"
"651",555,"Darmanitan Zen Mode",5,"Normal","Fire","Psychic","Sheer Force","","Zen Mode",540,"defensive specialists"
"652",555,"Darmanitan Galarian Standard Mode",5,"Normal","Ice","","Gorilla Tactics","","Zen Mode",480,"health tanks"
"653",555,"Darmanitan Galarian Zen Mode",5,"Normal","Ice","Fire","Gorilla Tactics","","Zen Mode",540,"fast attackers"
"654",556,"Maractus",5,"Normal","Grass","","Water Absorb","Chlorophyll","Storm Drain",461,"fast attackers"
"655",557,"Dwebble",5,"Normal","Bug","Rock","Sturdy","Shell Armor","Weak Armor",325,"big weak"
"656",558,"Crustle",5,"Normal","Bug","Rock","Sturdy","Shell Armor","Weak Armor",485,"defensive specialists"
"657",559,"Scraggy",5,"Normal","Dark","Fighting","Shed Skin","Moxie","Intimidate",348,"big weak"
"658",560,"Scrafty",5,"Normal","Dark","Fighting","Shed Skin","Moxie","Intimidate",488,"defensive specialists"
"659",561,"Sigilyph",5,"Normal","Psychic","Flying","Wonder Skin","Magic Guard","Tinted Lens",490,"fast attackers"
"660",562,"Yamask",5,"Normal","Ghost","","Mummy","","",303,"big weak"
"661",562,"Galarian Yamask",5,"Normal","Ground","Ghost","Wandering Spirit","","",303,"big weak"
"662",563,"Cofagrigus",5,"Normal","Ghost","","Mummy","","",483,"defensive specialists"
"663",564,"Tirtouga",5,"Normal","Water","Rock","Solid Rock","Sturdy","Swift Swim",355,"big weak"
"664",565,"Carracosta",5,"Normal","Water","Rock","Solid Rock","Sturdy","Swift Swim",495,"defensive specialists"
"665",566,"Archen",5,"Normal","Rock","Flying","Defeatist","","",401,"big weak"
"666",567,"Archeops",5,"Normal","Rock","Flying","Defeatist","","",567,"fast attackers"
"667",568,"Trubbish",5,"Normal","Poison","","Stench","Sticky Hold","Aftermath",329,"big weak"
"668",569,"Garbodor",5,"Normal","Poison","","Stench","Weak Armor","Aftermath",474,"health tanks"
"669",570,"Zorua",5,"Normal","Dark","","Illusion","","",330,"small weak"
"670",571,"Zoroark",5,"Normal","Dark","","Illusion","","",510,"fast attackers"
"671",572,"Minccino",5,"Normal","Normal","","Cute Charm","Technician","Skill Link",300,"small weak"
"672",573,"Cinccino",5,"Normal","Normal","","Cute Charm","Technician","Skill Link",470,"fast attackers"
"673",574,"Gothita",5,"Normal","Psychic","","Frisk","Competitive","Shadow Tag",290,"small weak"
"674",575,"Gothorita",5,"Normal","Psychic","","Frisk","Competitive","Shadow Tag",390,"big weak"
"675",576,"Gothitelle",5,"Normal","Psychic","","Frisk","Competitive","Shadow Tag",490,"defensive specialists"
"676",577,"Solosis",5,"Normal","Psychic","","Overcoat","Magic Guard","Regenerator",290,"small weak"
"677",578,"Duosion",5,"Normal","Psychic","","Overcoat","Magic Guard","Regenerator",370,"big weak"
"678",579,"Reuniclus",5,"Normal","Psychic","","Overcoat","Magic Guard","Regenerator",490,"health tanks"
"679",580,"Ducklett",5,"Normal","Water","Flying","Keen Eye","Big Pecks","Hydration",305,"small weak"
"680",581,"Swanna",5,"Normal","Water","Flying","Keen Eye","Big Pecks","Hydration",473,"fast attackers"
"681",582,"Vanillite",5,"Normal","Ice","","Ice Body","Snow Cloak","Weak Armor",305,"small weak"
"682",583,"Vanillish",5,"Normal","Ice","","Ice Body","Snow Cloak","Weak Armor",395,"big weak"
"683",584,"Vanilluxe",5,"Normal","Ice","","Ice Body","Snow Warning","Weak Armor",535,"overall strongest"
"684",585,"Deerling",5,"Normal","Normal","Grass","Chlorophyll","Sap Sipper","Serene Grace",335,"small weak"
"685",586,"Sawsbuck",5,"Normal","Normal","Grass","Chlorophyll","Sap Sipper","Serene Grace",475,"fast attackers"
"686",587,"Emolga",5,"Normal","Electric","Flying","Static","","Motor Drive",428,"fast attackers"
"687",588,"Karrablast",5,"Normal","Bug","","Swarm","Shed Skin","No Guard",315,"small weak"
"688",589,"Escavalier",5,"Normal","Bug","Steel","Swarm","Shell Armor","Overcoat",495,"defensive specialists"
"689",590,"Foongus",5,"Normal","Grass","Poison","Effect Spore","","Regenerator",294,"big weak"
"690",591,"Amoonguss",5,"Normal","Grass","Poison","Effect Spore","","Regenerator",464,"health tanks"
"691",592,"Frillish",5,"Normal","Water","Ghost","Water Absorb","Cursed Body","Damp",335,"big weak"
"692",593,"Jellicent",5,"Normal","Water","Ghost","Water Absorb","Cursed Body","Damp",480,"health tanks"
"693",594,"Alomomola",5,"Normal","Water","","Healer","Hydration","Regenerator",470,"health tanks"
"694",595,"Joltik",5,"Normal","Bug","Electric","Compound Eyes","Unnerve","Swarm",319,"small weak"
"695",596,"Galvantula",5,"Normal","Bug","Electric","Compound Eyes","Unnerve","Swarm",472,"fast attackers"
"696",597,"Ferroseed",5,"Normal","Grass","Steel","Iron Barbs","","Anticipation",305,"big weak"
"697",598,"Ferrothorn",5,"Normal","Grass","Steel","Iron Barbs","","Anticipation",489,"defensive specialists"
"698",599,"Klink",5,"Normal","Steel","","Plus","Minus","Clear Body",300,"big weak"
"699",600,"Klang",5,"Normal","Steel","","Plus","Minus","Clear Body",440,"defensive specialists"
"700",601,"Klinklang",5,"Normal","Steel","","Plus","Minus","Clear Body",520,"defensive specialists"
"701",602,"Tynamo",5,"Normal","Electric","","Levitate","","",275,"small weak"
"702",603,"Eelektrik",5,"Normal","Electric","","Levitate","","",405,"big weak"
"703",604,"Eelektross",5,"Normal","Electric","","Levitate","","",515,"health tanks"
"704",605,"Elgyem",5,"Normal","Psychic","","Telepathy","Synchronize","Analytic",335,"big weak"
"705",606,"Beheeyem",5,"Normal","Psychic","","Telepathy","Synchronize","Analytic",485,"defensive specialists"
"706",607,"Litwick",5,"Normal","Ghost","Fire","Flash Fire","Flame Body","Infiltrator",275,"small weak"
"707",608,"Lampent",5,"Normal","Ghost","Fire","Flash Fire","Flame Body","Infiltrator",370,"big weak"
"708",609,"Chandelure",5,"Normal","Ghost","Fire","Flash Fire","Flame Body","Infiltrator",520,"fast attackers"
"709",610,"Axew",5,"Normal","Dragon","","Rivalry","Mold Breaker","Unnerve",320,"big weak"
"710",611,"Fraxure",5,"Normal","Dragon","","Rivalry","Mold Breaker","Unnerve",410,"big weak"
"711",612,"Haxorus",5,"Normal","Dragon","","Rivalry","Mold Breaker","Unnerve",540,"fast attackers"
"712",613,"Cubchoo",5,"Normal","Ice","","Snow Cloak","Slush Rush","Rattled",305,"small weak"
"713",614,"Beartic",5,"Normal","Ice","","Snow Cloak","Slush Rush","Swift Swim",505,"health tanks"
"714",615,"Cryogonal",5,"Normal","Ice","","Levitate","","",515,"fast attackers"
"715",616,"Shelmet",5,"Normal","Bug","","Hydration","Shell Armor","Overcoat",305,"big weak"
"716",617,"Accelgor",5,"Normal","Bug","","Hydration","Sticky Hold","Unburden",495,"fast attackers"
"717",618,"Stunfisk",5,"Normal","Ground","Electric","Static","Limber","Sand Veil",471,"health tanks"
"718",618,"Galarian Stunfisk",5,"Normal","Ground","Steel","Mimicry","","",471,"health tanks"
"719",619,"Mienfoo",5,"Normal","Fighting","","Inner Focus","Regenerator","Reckless",350,"big weak"
"720",620,"Mienshao",5,"Normal","Fighting","","Inner Focus","Regenerator","Reckless",510,"fast attackers"
"721",621,"Druddigon",5,"Normal","Dragon","","Rough Skin","Sheer Force","Mold Breaker",485,"health tanks"
"722",622,"Golett",5,"Normal","Ground","Ghost","Iron Fist","Klutz","No Guard",303,"big weak"
"723",623,"Golurk",5,"Normal","Ground","Ghost","Iron Fist","Klutz","No Guard",483,"health tanks"
"724",624,"Pawniard",5,"Normal","Dark","Steel","Defiant","Inner Focus","Pressure",340,"big weak"
"725",625,"Bisharp",5,"Normal","Dark","Steel","Defiant","Inner Focus","Pressure",490,"health tanks"
"726",626,"Bouffalant",5,"Normal","Normal","","Reckless","Sap Sipper","Soundproof",490,"health tanks"
"727",627,"Rufflet",5,"Normal","Normal","Flying","Keen Eye","Sheer Force","Hustle",350,"big weak"
"728",628,"Braviary",5,"Normal","Normal","Flying","Keen Eye","Sheer Force","Defiant",510,"health tanks"
"729",629,"Vullaby",5,"Normal","Dark","Flying","Big Pecks","Overcoat","Weak Armor",370,"big weak"
"730",630,"Mandibuzz",5,"Normal","Dark","Flying","Big Pecks","Overcoat","Weak Armor",510,"health tanks"
"731",631,"Heatmor",5,"Normal","Fire","","Gluttony","Flash Fire","White Smoke",484,"health tanks"
"732",632,"Durant",5,"Normal","Bug","Steel","Swarm","Hustle","Truant",484,"fast attackers"
"733",633,"Deino",5,"Normal","Dark","Dragon","Hustle","","",300,"big weak"
"734",634,"Zweilous",5,"Normal","Dark","Dragon","Hustle","","",420,"big weak"
"735",635,"Hydreigon",5,"Normal","Dark","Dragon","Levitate","","",600,"overall strongest"
"736",636,"Larvesta",5,"Normal","Bug","Fire","Flame Body","","Swarm",360,"big weak"
"737",637,"Volcarona",5,"Normal","Bug","Fire","Flame Body","","Swarm",550,"overall strongest"
"738",638,"Cobalion",5,"Sub Legendary","Steel","Fighting","Justified","","",580,"overall strongest"
"739",639,"Terrakion",5,"Sub Legendary","Rock","Fighting","Justified","","",580,"overall strongest"
"740",640,"Virizion",5,"Sub Legendary","Grass","Fighting","Justified","","",580,"overall strongest"
"741",641,"Tornadus Incarnate Forme",5,"Sub Legendary","Flying","","Prankster","","Defiant",580,"overall strongest"
"742",641,"Tornadus Therian Forme",5,"Sub Legendary","Flying","","Regenerator","","",580,"fast attackers"
"743",642,"Thundurus Incarnate Forme",5,"Sub Legendary","Electric","Flying","Prankster","","Defiant",580,"overall strongest"
"744",642,"Thundurus Therian Forme",5,"Sub Legendary","Electric","Flying","Volt Absorb","","",580,"overall strongest"
"745",643,"Reshiram",5,"Legendary","Dragon","Fire","Turboblaze","","",680,"overall strongest"
"746",644,"Zekrom",5,"Legendary","Dragon","Electric","Teravolt","","",680,"overall strongest"
"747",645,"Landorus Incarnate Forme",5,"Sub Legendary","Ground","Flying","Sand Force","","Sheer Force",600,"overall strongest"
"748",645,"Landorus Therian Forme",5,"Sub Legendary","Ground","Flying","Intimidate","","",600,"overall strongest"
"749",646,"Kyurem",5,"Legendary","Dragon","Ice","Pressure","","",660,"overall strongest"
"750",646,"Black Kyurem",5,"Legendary","Dragon","Ice","Teravolt","","",700,"overall strongest"
"751",646,"White Kyurem",5,"Legendary","Dragon","Ice","Turboblaze","","",700,"overall strongest"
"752",647,"Keldeo Ordinary Forme",5,"Mythical","Water","Fighting","Justified","","",580,"overall strongest"
"753",647,"Keldeo Resolute Forme",5,"Mythical","Water","Fighting","Justified","","",580,"overall strongest"
"754",648,"Meloetta Aria Forme",5,"Mythical","Normal","Psychic","Serene Grace","","",600,"overall strongest"
"755",648,"Meloetta Pirouette Forme",5,"Mythical","Normal","Fighting","Serene Grace","","",600,"overall strongest"
"756",649,"Genesect",5,"Mythical","Bug","Steel","Download","","",600,"overall strongest"
"757",650,"Chespin",6,"Normal","Grass","","Overgrow","","Bulletproof",313,"big weak"
"758",651,"Quilladin",6,"Normal","Grass","","Overgrow","","Bulletproof",405,"big weak"
"759",652,"Chesnaught",6,"Normal","Grass","Fighting","Overgrow","","Bulletproof",530,"health tanks"
"760",653,"Fennekin",6,"Normal","Fire","","Blaze","","Magician",307,"small weak"
"761",654,"Braixen",6,"Normal","Fire","","Blaze","","Magician",409,"big weak"
"762",655,"Delphox",6,"Normal","Fire","Psychic","Blaze","","Magician",534,"fast attackers"
"763",656,"Froakie",6,"Normal","Water","","Torrent","","Protean",314,"small weak"
"764",657,"Frogadier",6,"Normal","Water","","Torrent","","Protean",405,"fast attackers"
"765",658,"Greninja",6,"Normal","Water","Dark","Torrent","","Protean",530,"fast attackers"
"766",658,"Ash-Greninja",6,"Normal","Water","Dark","Battle Bond","","",640,"overall strongest"
"767",659,"Bunnelby",6,"Normal","Normal","","Pickup","Cheek Pouch","Huge Power",237,"small weak"
"768",660,"Diggersby",6,"Normal","Normal","Ground","Pickup","Cheek Pouch","Huge Power",423,"big weak"
"769",661,"Fletchling",6,"Normal","Normal","Flying","Big Pecks","","Gale Wings",278,"small weak"
"770",662,"Fletchinder",6,"Normal","Fire","Flying","Flame Body","","Gale Wings",382,"big weak"
"771",663,"Talonflame",6,"Normal","Fire","Flying","Flame Body","","Gale Wings",499,"fast attackers"
"772",664,"Scatterbug",6,"Normal","Bug","","Shield Dust","Compound Eyes","Friend Guard",200,"small weak"
"773",665,"Spewpa",6,"Normal","Bug","","Shed Skin","","Friend Guard",213,"small weak"
"774",666,"Vivillon",6,"Normal","Bug","Flying","Shield Dust","Compound Eyes","Friend Guard",411,"fast attackers"
"775",667,"Litleo",6,"Normal","Fire","Normal","Rivalry","Unnerve","Moxie",369,"big weak"
"776",668,"Pyroar",6,"Normal","Fire","Normal","Rivalry","Unnerve","Moxie",507,"fast attackers"
"777",669,"Flabébé",6,"Normal","Fairy","","Flower Veil","","Symbiosis",303,"small weak"
"778",670,"Floette",6,"Normal","Fairy","","Flower Veil","","Symbiosis",371,"big weak"
"779",671,"Florges",6,"Normal","Fairy","","Flower Veil","","Symbiosis",552,"overall strongest"
"780",672,"Skiddo",6,"Normal","Grass","","Sap Sipper","","Grass Pelt",350,"big weak"
"781",673,"Gogoat",6,"Normal","Grass","","Sap Sipper","","Grass Pelt",531,"health tanks"
"782",674,"Pancham",6,"Normal","Fighting","","Iron Fist","Mold Breaker","Scrappy",348,"big weak"
"783",675,"Pangoro",6,"Normal","Fighting","Dark","Iron Fist","Mold Breaker","Scrappy",495,"health tanks"
"784",676,"Furfrou",6,"Normal","Normal","","Fur Coat","","",472,"fast attackers"
"785",677,"Espurr",6,"Normal","Psychic","","Keen Eye","Infiltrator","Own Tempo",355,"big weak"
"786",678,"Meowstic Male",6,"Normal","Psychic","","Keen Eye","Infiltrator","Prankster",466,"fast attackers"
"787",678,"Meowstic Female",6,"Normal","Psychic","","Keen Eye","Infiltrator","Competitive",466,"fast attackers"
"788",679,"Honedge",6,"Normal","Steel","Ghost","No Guard","","",325,"big weak"
"789",680,"Doublade",6,"Normal","Steel","Ghost","No Guard","","",448,"defensive specialists"
"790",681,"Aegislash Blade Forme",6,"Normal","Steel","Ghost","Stance Change","","",520,"fast attackers"
"791",681,"Aegislash Shield Forme",6,"Normal","Steel","Ghost","Stance Change","","",520,"defensive specialists"
"792",682,"Spritzee",6,"Normal","Fairy","","Healer","","Aroma Veil",341,"big weak"
"793",683,"Aromatisse",6,"Normal","Fairy","","Healer","","Aroma Veil",462,"health tanks"
"794",684,"Swirlix",6,"Normal","Fairy","","Sweet Veil","","Unburden",341,"big weak"
"795",685,"Slurpuff",6,"Normal","Fairy","","Sweet Veil","","Unburden",480,"health tanks"
"796",686,"Inkay",6,"Normal","Dark","Psychic","Contrary","Suction Cups","Infiltrator",288,"small weak"
"797",687,"Malamar",6,"Normal","Dark","Psychic","Contrary","Suction Cups","Infiltrator",482,"health tanks"
"798",688,"Binacle",6,"Normal","Rock","Water","Sniper","Tough Claws","Pickpocket",306,"big weak"
"799",689,"Barbaracle",6,"Normal","Rock","Water","Sniper","Tough Claws","Pickpocket",500,"defensive specialists"
"800",690,"Skrelp",6,"Normal","Poison","Water","Poison Point","Poison Touch","Adaptability",320,"big weak"
"801",691,"Dragalge",6,"Normal","Poison","Dragon","Poison Point","Poison Touch","Adaptability",494,"defensive specialists"
"802",692,"Clauncher",6,"Normal","Water","","Mega Launcher","","",330,"big weak"
"803",693,"Clawitzer",6,"Normal","Water","","Mega Launcher","","",500,"defensive specialists"
"804",694,"Helioptile",6,"Normal","Electric","Normal","Dry Skin","Sand Veil","Solar Power",289,"small weak"
"805",695,"Heliolisk",6,"Normal","Electric","Normal","Dry Skin","Sand Veil","Solar Power",481,"fast attackers"
"806",696,"Tyrunt",6,"Normal","Rock","Dragon","Strong Jaw","","Sturdy",362,"big weak"
"807",697,"Tyrantrum",6,"Normal","Rock","Dragon","Strong Jaw","","Rock Head",521,"health tanks"
"808",698,"Amaura",6,"Normal","Rock","Ice","Refrigerate","","Snow Warning",362,"big weak"
"809",699,"Aurorus",6,"Normal","Rock","Ice","Refrigerate","","Snow Warning",521,"health tanks"
"810",700,"Sylveon",6,"Normal","Fairy","","Cute Charm","","Pixilate",525,"overall strongest"
"811",701,"Hawlucha",6,"Normal","Fighting","Flying","Limber","Unburden","Mold Breaker",500,"fast attackers"
"812",702,"Dedenne",6,"Normal","Electric","Fairy","Cheek Pouch","Pickup","Plus",431,"fast attackers"
"813",703,"Carbink",6,"Normal","Rock","Fairy","Clear Body","","Sturdy",500,"defensive specialists"
"814",704,"Goomy",6,"Normal","Dragon","","Sap Sipper","Hydration","Gooey",300,"small weak"
"815",705,"Sliggoo",6,"Normal","Dragon","","Sap Sipper","Hydration","Gooey",452,"fast attackers"
"816",706,"Goodra",6,"Normal","Dragon","","Sap Sipper","Hydration","Gooey",600,"overall strongest"
"817",707,"Klefki",6,"Normal","Steel","Fairy","Prankster","","Magician",470,"defensive specialists"
"818",708,"Phantump",6,"Normal","Ghost","Grass","Natural Cure","Frisk","Harvest",309,"big weak"
"819",709,"Trevenant",6,"Normal","Ghost","Grass","Natural Cure","Frisk","Harvest",474,"health tanks"
"820",710,"Pumpkaboo Average Size",6,"Normal","Ghost","Grass","Pickup","Frisk","Insomnia",335,"big weak"
"821",710,"Pumpkaboo Small Size",6,"Normal","Ghost","Grass","Pickup","Frisk","Insomnia",335,"big weak"
"822",710,"Pumpkaboo Large Size",6,"Normal","Ghost","Grass","Pickup","Frisk","Insomnia",335,"big weak"
"823",710,"Pumpkaboo Super Size",6,"Normal","Ghost","Grass","Pickup","Frisk","Insomnia",335,"big weak"
"824",711,"Gourgeist Average Size",6,"Normal","Ghost","Grass","Pickup","Frisk","Insomnia",494,"defensive specialists"
